ping_index,latitude,longitude,depth_m,heading_deg,timestamp
0,24.55050161927708,-81.77999691657385,28.0,60.0,2026-09-02T19:07:36.222932+00:00
1,24.550503233658667,-81.77999383004659,28.0,60.1,2026-09-02T19:07:36.422932+00:00
2,24.5505048431521,-81.77999074043534,28.1,60.2,2026-09-02T19:07:36.622932+00:00
3,24.55050644777701,-81.7799876477648,28.1,60.3,2026-09-02T19:07:36.822932+00:00
4,24.550508047565295,-81.77998455206716,28.1,60.4,2026-09-02T19:07:37.022932+00:00
5,24.55050964256109,-81.77998145338199,28.1,60.5,2026-09-02T19:07:37.222932+00:00
6,24.550511232820675,-81.77997835175599,28.2,60.6,2026-09-02T19:07:37.422932+00:00
7,24.55051281841237,-81.77997524724285,28.2,60.7,2026-09-02T19:07:37.622932+00:00
8,24.5505143994164,-81.77997213990302,28.2,60.8,2026-09-02T19:07:37.822932+00:00
9,24.550515975924718,-81.77996902980365,28.3,60.9,2026-09-02T19:07:38.022932+00:00
10,24.550517548040787,-81.77996591701815,28.3,61.0,2026-09-02T19:07:38.222932+00:00
11,24.550519115879354,-81.77996280162611,28.3,61.0,2026-09-02T19:07:38.422932+00:00
12,24.550520679566176,-81.77995968371306,28.4,61.1,2026-09-02T19:07:38.622932+00:00
13,24.550522239237736,-81.77995656337012,28.4,61.2,2026-09-02T19:07:38.822932+00:00
14,24.550523795040878,-81.77995344069386,28.4,61.3,2026-09-02T19:07:39.022932+00:00
15,24.550525347132478,-81.77995031578598,28.4,61.4,2026-09-02T19:07:39.222932+00:00
16,24.55052689567906,-81.77994718875307,28.5,61.4,2026-09-02T19:07:39.422932+00:00
17,24.550528440856343,-81.77994405970628,28.5,61.5,2026-09-02T19:07:39.622932+00:00
18,24.550529982848843,-81.77994092876115,28.5,61.6,2026-09-02T19:07:39.822932+00:00
19,24.55053152184938,-81.77993779603719,28.6,61.6,2026-09-02T19:07:40.022932+00:00
20,24.55053305805859,-81.77993466165772,28.6,61.7,2026-09-02T19:07:40.222932+00:00
21,24.55053459168442,-81.77993152574953,28.6,61.7,2026-09-02T19:07:40.422932+00:00
22,24.550536122941597,-81.77992838844258,28.7,61.8,2026-09-02T19:07:40.622932+00:00
23,24.550537652051034,-81.77992524986975,28.7,61.8,2026-09-02T19:07:40.822932+00:00
24,24.550539179239316,-81.7799221101665,28.7,61.9,2026-09-02T19:07:41.022932+00:00
25,24.550540704738058,-81.77991896947063,28.7,61.9,2026-09-02T19:07:41.222932+00:00
26,24.550542228783332,-81.77991582792195,28.8,61.9,2026-09-02T19:07:41.422932+00:00
27,24.550543751615027,-81.77991268566201,28.8,62.0,2026-09-02T19:07:41.622932+00:00
28,24.550545273476242,-81.77990954283382,28.8,62.0,2026-09-02T19:07:41.822932+00:00
29,24.55054679461262,-81.77990639958149,28.9,62.0,2026-09-02T19:07:42.022932+00:00
30,24.55054831527174,-81.77990325605002,28.9,62.0,2026-09-02T19:07:42.222932+00:00
31,24.550549835702405,-81.77990011238495,28.9,62.0,2026-09-02T19:07:42.422932+00:00
32,24.55055135615405,-81.7798969687321,28.9,62.0,2026-09-02T19:07:42.622932+00:00
33,24.550552876876036,-81.77989382523728,29.0,62.0,2026-09-02T19:07:42.822932+00:00
34,24.55055439811703,-81.77989068204595,29.0,62.0,2026-09-02T19:07:43.022932+00:00
35,24.550555920124307,-81.77988753930298,29.0,62.0,2026-09-02T19:07:43.222932+00:00
36,24.550557443143138,-81.77988439715233,29.1,61.9,2026-09-02T19:07:43.422932+00:00
37,24.550558967416126,-81.77988125573677,29.1,61.9,2026-09-02T19:07:43.622932+00:00
38,24.550560493182566,-81.77987811519758,29.1,61.9,2026-09-02T19:07:43.822932+00:00
39,24.550562020677816,-81.77987497567425,29.1,61.9,2026-09-02T19:07:44.022932+00:00
40,24.55056355013269,-81.7798718373042,29.2,61.8,2026-09-02T19:07:44.222932+00:00
41,24.550565081772856,-81.7798687002225,29.2,61.8,2026-09-02T19:07:44.422932+00:00
42,24.550566615818237,-81.77986556456153,29.2,61.7,2026-09-02T19:07:44.622932+00:00
43,24.55056815248245,-81.77986243045078,29.3,61.7,2026-09-02T19:07:44.822932+00:00
44,24.55056969197225,-81.77985929801643,29.3,61.6,2026-09-02T19:07:45.022932+00:00
45,24.550571234486995,-81.77985616738121,29.3,61.6,2026-09-02T19:07:45.222932+00:00
46,24.550572780218143,-81.77985303866399,29.3,61.5,2026-09-02T19:07:45.422932+00:00
47,24.55057432934876,-81.77984991197955,29.4,61.4,2026-09-02T19:07:45.622932+00:00
48,24.55057588205306,-81.77984678743833,29.4,61.4,2026-09-02T19:07:45.822932+00:00
49,24.55057743849596,-81.7798436651461,29.4,61.3,2026-09-02T19:07:46.022932+00:00
50,24.550578998832677,-81.77984054520371,29.4,61.2,2026-09-02T19:07:46.222932+00:00
51,24.550580563208353,-81.77983742770684,29.5,61.1,2026-09-02T19:07:46.422932+00:00
52,24.550582131757672,-81.77983431274569,29.5,61.0,2026-09-02T19:07:46.622932+00:00
53,24.550583704604563,-81.7798312004048,29.5,60.9,2026-09-02T19:07:46.822932+00:00
54,24.550585281861895,-81.77982809076273,29.5,60.9,2026-09-02T19:07:47.022932+00:00
55,24.550586863631217,-81.7798249838919,29.6,60.8,2026-09-02T19:07:47.222932+00:00
56,24.550588450002515,-81.77982187985829,29.6,60.7,2026-09-02T19:07:47.422932+00:00
57,24.550590041054022,-81.77981877872124,29.6,60.6,2026-09-02T19:07:47.622932+00:00
58,24.550591636852047,-81.7798156805333,29.6,60.5,2026-09-02T19:07:47.822932+00:00
59,24.550593237450844,-81.77981258534,29.7,60.4,2026-09-02T19:07:48.022932+00:00
60,24.55059484289248,-81.77980949317961,29.7,60.3,2026-09-02T19:07:48.222932+00:00
61,24.550596453206808,-81.77980640408313,29.7,60.2,2026-09-02T19:07:48.422932+00:00
62,24.55059806841138,-81.77980331807399,29.7,60.1,2026-09-02T19:07:48.622932+00:00
63,24.550599688511472,-81.779800235168,29.8,60.0,2026-09-02T19:07:48.822932+00:00
64,24.550601313500103,-81.77979715537325,29.8,59.9,2026-09-02T19:07:49.022932+00:00
65,24.550602943358076,-81.77979407868997,29.8,59.8,2026-09-02T19:07:49.222932+00:00
66,24.550604578054067,-81.77979100511052,29.8,59.7,2026-09-02T19:07:49.422932+00:00
67,24.550606217544747,-81.77978793461929,29.9,59.6,2026-09-02T19:07:49.622932+00:00
68,24.550607861774925,-81.77978486719267,29.9,59.5,2026-09-02T19:07:49.822932+00:00
69,24.550609510677717,-81.77978180279909,29.9,59.4,2026-09-02T19:07:50.022932+00:00
70,24.55061116417474,-81.77977874139899,29.9,59.3,2026-09-02T19:07:50.222932+00:00
71,24.55061282217637,-81.77977568294494,30.0,59.2,2026-09-02T19:07:50.422932+00:00
72,24.55061448458195,-81.77977262738162,30.0,59.1,2026-09-02T19:07:50.622932+00:00
73,24.550616151280103,-81.77976957464591,30.0,59.0,2026-09-02T19:07:50.822932+00:00
74,24.55061782214903,-81.77976652466711,30.0,58.9,2026-09-02T19:07:51.022932+00:00
75,24.550619497056818,-81.77976347736698,30.0,58.9,2026-09-02T19:07:51.222932+00:00
76,24.550621175861817,-81.77976043265993,30.1,58.8,2026-09-02T19:07:51.422932+00:00
77,24.55062285841299,-81.77975739045323,30.1,58.7,2026-09-02T19:07:51.622932+00:00
