ping_index,latitude,longitude,depth_m,heading_deg,timestamp
0,36.602497709996314,-121.89699714744897,28.0,135.0,2026-09-02T19:07:36.614358+00:00
1,36.60249541600098,-121.89699429987895,28.0,135.1,2026-09-02T19:07:36.814358+00:00
2,36.602493118030914,-121.89699145728609,28.1,135.2,2026-09-02T19:07:37.014358+00:00
3,36.602490816112926,-121.89698861965405,28.1,135.3,2026-09-02T19:07:37.214358+00:00
4,36.60248851028356,-121.89698578695389,28.1,135.4,2026-09-02T19:07:37.414358+00:00
5,36.60248620058898,-121.89698295914407,28.1,135.5,2026-09-02T19:07:37.614358+00:00
6,36.60248388708479,-121.89698013617061,28.2,135.6,2026-09-02T19:07:37.814358+00:00
7,36.60248156983585,-121.896977317967,28.2,135.7,2026-09-02T19:07:38.014358+00:00
8,36.602479248916055,-121.89697450445449,28.2,135.8,2026-09-02T19:07:38.214358+00:00
9,36.602476924408165,-121.8969716955421,28.3,135.9,2026-09-02T19:07:38.414358+00:00
10,36.60247459640348,-121.89696889112689,28.3,136.0,2026-09-02T19:07:38.614358+00:00
11,36.60247226500162,-121.89696609109413,28.3,136.0,2026-09-02T19:07:38.814358+00:00
12,36.60246993031028,-121.89696329531758,28.4,136.1,2026-09-02T19:07:39.014358+00:00
13,36.60246759244484,-121.89696050365976,28.4,136.2,2026-09-02T19:07:39.214358+00:00
14,36.60246525152816,-121.8969577159723,28.4,136.3,2026-09-02T19:07:39.414358+00:00
15,36.602462907690196,-121.89695493209628,28.4,136.4,2026-09-02T19:07:39.614358+00:00
16,36.60246056106769,-121.89695215186256,28.5,136.4,2026-09-02T19:07:39.814358+00:00
17,36.6024582118038,-121.89694937509235,28.5,136.5,2026-09-02T19:07:40.014358+00:00
18,36.60245586004774,-121.89694660159748,28.5,136.6,2026-09-02T19:07:40.214358+00:00
19,36.60245350595447,-121.89694383118102,28.6,136.6,2026-09-02T19:07:40.414358+00:00
20,36.602451149684256,-121.89694106363773,28.6,136.7,2026-09-02T19:07:40.614358+00:00
21,36.6024487914023,-121.89693829875456,28.6,136.7,2026-09-02T19:07:40.814358+00:00
22,36.60244643127838,-121.8969355363113,28.7,136.8,2026-09-02T19:07:41.014358+00:00
23,36.60244406948641,-121.89693277608107,28.7,136.8,2026-09-02T19:07:41.214358+00:00
24,36.60244170620406,-121.896930017831,28.7,136.9,2026-09-02T19:07:41.414358+00:00
25,36.60243934161233,-121.8969272613228,28.7,136.9,2026-09-02T19:07:41.614358+00:00
26,36.60243697589518,-121.89692450631344,28.8,136.9,2026-09-02T19:07:41.814358+00:00
27,36.602434609239054,-121.89692175255578,28.8,137.0,2026-09-02T19:07:42.014358+00:00
28,36.60243224183251,-121.89691899979927,28.8,137.0,2026-09-02T19:07:42.214358+00:00
29,36.602429873865745,-121.8969162477906,28.9,137.0,2026-09-02T19:07:42.414358+00:00
30,36.602427505530244,-121.8969134962744,28.9,137.0,2026-09-02T19:07:42.614358+00:00
31,36.602425137018265,-121.89691074499399,28.9,137.0,2026-09-02T19:07:42.814358+00:00
32,36.602422768522494,-121.89690799369203,28.9,137.0,2026-09-02T19:07:43.014358+00:00
33,36.60242040023555,-121.89690524211123,29.0,137.0,2026-09-02T19:07:43.214358+00:00
34,36.602418032349625,-121.89690248999504,29.0,137.0,2026-09-02T19:07:43.414358+00:00
35,36.602415665055986,-121.89689973708843,29.0,137.0,2026-09-02T19:07:43.614358+00:00
36,36.602413298544626,-121.89689698313853,29.1,136.9,2026-09-02T19:07:43.814358+00:00
37,36.60241093300374,-121.89689422789525,29.1,136.9,2026-09-02T19:07:44.014358+00:00
38,36.602408568619396,-121.89689147111216,29.1,136.9,2026-09-02T19:07:44.214358+00:00
39,36.602406205575065,-121.89688871254693,29.1,136.9,2026-09-02T19:07:44.414358+00:00
40,36.602403844051246,-121.89688595196218,29.2,136.8,2026-09-02T19:07:44.614358+00:00
41,36.602401484225,-121.89688318912597,29.2,136.8,2026-09-02T19:07:44.814358+00:00
42,36.60239912626957,-121.89688042381253,29.2,136.7,2026-09-02T19:07:45.014358+00:00
43,36.60239677035398,-121.89687765580278,29.3,136.7,2026-09-02T19:07:45.214358+00:00
44,36.60239441664263,-121.89687488488498,29.3,136.6,2026-09-02T19:07:45.414358+00:00
45,36.60239206529494,-121.8968721108552,29.3,136.6,2026-09-02T19:07:45.614358+00:00
46,36.602389716464906,-121.89686933351798,29.3,136.5,2026-09-02T19:07:45.814358+00:00
47,36.60238737030077,-121.89686655268675,29.4,136.4,2026-09-02T19:07:46.014358+00:00
48,36.602385026944624,-121.89686376818419,29.4,136.4,2026-09-02T19:07:46.214358+00:00
49,36.60238268653211,-121.89686097984297,29.4,136.3,2026-09-02T19:07:46.414358+00:00
50,36.60238034919199,-121.89685818750586,29.4,136.2,2026-09-02T19:07:46.614358+00:00
51,36.602378015045886,-121.8968553910263,29.5,136.1,2026-09-02T19:07:46.814358+00:00
52,36.60237568420795,-121.89685259026868,29.5,136.0,2026-09-02T19:07:47.014358+00:00
53,36.602373356784476,-121.89684978510869,29.5,135.9,2026-09-02T19:07:47.214358+00:00
54,36.60237103287377,-121.89684697543355,29.5,135.9,2026-09-02T19:07:47.414358+00:00
